Evidence,Property,Source,Genome Name,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Source ID,Source Organism,Gene,Product,Function,Classification,PubMed,Subject Coverage,Query Coverage,Identity,E-value
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.3733,0,0,NP_309766.1,Escherichia coli,hns,H-NS protein,,efflux pump conferring antibiotic resistance,0,99,99,95,2.00E-67
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.5017,0,0,AAA50993.1,Escherichia coli,0,Elongation factor Tu,,elfamycin resistance gene,0,72,100,99,1.00E-165
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.931,0,0,0,unknown,rpsL,Ribosomal protein S12,Ribosomal protein S12,antibiotic target in susceptible species,7934937,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.2726,0,0,0,unknown,ddl,D-Ala-D-Ala ligase,D-Ala-D-Ala ligase,antibiotic target in susceptible species,24303782;24033232,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.1662,0,0,AFH35853.1,Escherichia coli,mdfA,MdfA efflux pump,,efflux pump conferring antibiotic resistance,0,99,99,87,1.00E-208
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.3588,0,0,0,unknown,sugE,SugE efflux transporter,SugE efflux transporter,efflux pump conferring antibiotic resistance,11948170,0,0,0,0
BLAT,Antibiotic Resistance,NDARO,ST13,fig|90370.6312.peg.4997,0,0,WP_000412211.1,Bacteria/Archaea,0,Chloramphenicol acetyltransferase,Chloramphenicol O-acetyltransferase,unknown,0,100,100,100,1.00E-132
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.3678,0,0,0,unknown,fabI,FabI reductase,FabI reductase,antibiotic target in susceptible species,18193820;10869170;8284673,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.1074,0,0,0,unknown,mdtM,MdtM efflux pump,MdtM efflux pump,efflux pump conferring antibiotic resistance,23221628,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.3426,0,0,NP_312865.1,Escherichia coli,cpxR,CpxR response regulator,,efflux pump conferring antibiotic resistance,0,100,100,96,1.00E-126
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.5017,0,0,0,unknown,tufA,Elongation factor Tu,Elongation factor Tu,antibiotic target in susceptible species,364475;9678602,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.4939,0,0,ACS44716.1,Acinetobacter baumannii,dfrA7,ANT(3'')-Ia nucleotidyltransferase,,trimethoprim resistance gene,0,99,78,100,2.00E-85
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4767,0,0,0,unknown,tufA,Elongation factor Tu,Elongation factor Tu,antibiotic target in susceptible species,364475;9678602,0,0,0,0
BLAT,Antibiotic Resistance,NDARO,ST13,fig|90370.6312.peg.4972,0,0,WP_000480968.1,Bacteria,0,APH(6)-Id phosphotransferase,APH(6)-Id phosphotransferase,unknown,0,100,100,100,1.00E-161
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.4980,0,0,AAA50993.1,Escherichia coli,0,Elongation factor Tu,,elfamycin resistance gene,0,13,100,100,3.00E-23
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.629,0,0,0,unknown,0,Class B3 beta-lactamase,Class B3 beta-lactamase,antibiotic inactivation enzyme,22985886;16723554;12019096;26666948;18843302;11749954;26482314;22442240;15561856;10858348;18563261,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.1419,0,0,AIL15701,Escherichia coli,murA,MurA transferase,,fosfomycin resistance gene,0,100,100,97,1.00E-233
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.2927,0,0,NP_414997.1,Escherichia coli,acrR,AcrR regulator,,efflux pump conferring antibiotic resistance,0,97,96,88,1.00E-104
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.3189,0,0,CDJ72593,Escherichia coli,glpT,GlpT transporter,,fosfomycin resistance gene,0,100,100,96,1.00E-265
BLAT,Antibiotic Resistance,NDARO,ST13,fig|90370.6312.peg.4718,0,0,WP_001580422.1,Salmonella enterica,0,Aminoglycoside nucleotidyltransferase,Aminoglycoside nucleotidyltransferase,unknown,0,100,90,97,1.00E-146
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.2926,0,0,0,unknown,acrAB-tolC,AcrA efflux pump component,AcrA efflux pump component,efflux pump conferring antibiotic resistance,7651136,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.4558,0,0,AAC76298.1,Escherichia coli,acrF,AcrF efflux pump component,,efflux pump conferring antibiotic resistance,0,87,98,89,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.1847,0,0,0,unknown,acrZ,AcrZ efflux pump component,AcrZ efflux pump component,efflux pump conferring antibiotic resistance,23010927,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.2548,0,0,AAC74603.2,Escherichia coli,marR,MarR regulator,,efflux pump conferring antibiotic resistance,0,100,100,92,3.00E-72
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.2925,0,0,ABG77966.1,Enterobacter cloacae,acrB,AcrB efflux pump component,,efflux pump conferring antibiotic resistance,0,99,99,93,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4558,0,0,0,unknown,AcrEF-TolC ,AcrF efflux pump component,AcrF efflux pump component,efflux pump conferring antibiotic resistance,1720861,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4997,0,0,0,unknown,CatA1/CatA4 family,Chloramphenicol acetyltransferase,Chloramphenicol acetyltransferase,antibiotic inactivation enzyme,27635645;25779570 ,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.408,0,0,AAC75138.1,Escherichia coli,mdtD,MdtD efflux transporter,,efflux pump conferring antibiotic resistance,0,99,99,85,1.00E-235
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.1405,0,0,YP_491362.1,Escherichia coli,folP,Dihydropteroate synthase,,sulfonamide resistance gene,0,100,100,91,1.00E-147
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.2695,0,0,NP_459345.2,Salmonella enterica,mdsC,OprM efflux pump component,,efflux pump conferring antibiotic resistance,0,26,99,98,2.00E-65
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.2927,0,0,0,unknown,acrAB-tolC,AcrR regulator,AcrR regulator,regulator modulating antibiotic resistance,0,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4973,0,0,0,unknown,aph(3'')-I,APH(3'')-I phosphotransferase,APH(3'')-I phosphotransferase,antibiotic inactivation enzyme,2167474;2653965;16954315,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.933,0,0,0,unknown,fusA,Elongation factor G,Elongation factor G,antibiotic target in susceptible species,17980694,0,0,0,0
BLAT,Antibiotic Resistance,NDARO,ST13,fig|90370.6312.peg.4937,0,0,WP_000259031.1,Bacteria,0,Sul1/Sul2 resistance protein,Dihydropteroate synthase Sul1,unknown,0,100,100,100,1.00E-156
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.3427,0,0,NP_312864.1,Escherichia coli,cpxA,CpxA histidine kinase,,efflux pump conferring antibiotic resistance,0,99,99,97,1.00E-259
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.3733,0,0,0,unknown,hns,H-NS protein,H-NS protein,regulator modulating antibiotic resistance,14973023,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.1663,0,0,0,unknown,bcrC,BcrC diphosphatase,BcrC diphosphatase,antibiotic target protection protein,12486040;15778224;15946938,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.2083,0,0,0,unknown,dxr,Dxr reductoisomerase,Dxr reductoisomerase,antibiotic target in susceptible species,16321944,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.943,0,0,0,unknown,ileS,Isoleucyl-tRNA synthetase,Isoleucyl-tRNA synthetase,antibiotic target in susceptible species,7929087,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.4937,0,0,AEJ33969.1,Vibrio fluvialis,sul1,Sul1/Sul2 resistance protein,,sulfonamide resistance gene,0,100,100,100,1.00E-156
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.934,0,0,0,unknown,tufA,Elongation factor Tu,Elongation factor Tu,antibiotic target in susceptible species,364475;9678602,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.835,0,0,0,unknown,gdpD,GdpD phosphodiesterase,GdpD phosphodiesterase,cell wall charge modification resistance,21899450,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.2549,0,0,YP_489794.1,Escherichia coli,marA,MarA regulator,,efflux pump conferring antibiotic resistance,0,99,99,95,1.00E-65
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4895,0,0,0,unknown,qnrB,QnrB resistance protein,QnrB resistance protein,antibiotic target protection protein,11943863,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.2549,0,0,0,unknown,marA,MarA regulator,MarA regulator,antibiotic resistance gene cluster,8383113;9068629,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4009,0,0,0,unknown,mdtL,MdtL efflux pump,MdtL efflux pump,efflux pump conferring antibiotic resistance,11566977,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4752,0,0,0,unknown,hns,H-NS protein,H-NS protein,regulator modulating antibiotic resistance,14973023,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.4360,0,0,NP_415632.1,Escherichia coli,mfd,Mfd transcription-repair factor,,fluoroquinolone resistance gene,0,100,100,95,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.1989,0,0,0,unknown,ddl,D-Ala-D-Ala ligase,D-Ala-D-Ala ligase,antibiotic target in susceptible species,24303782;24033232,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.1778,0,0,NP_415222.1,Escherichia coli,kdpE,KdpE response regulator,,aminoglycoside resistance gene,0,99,99,91,1.00E-116
BLAT,Antibiotic Resistance,NDARO,ST13,fig|90370.6312.peg.4970,0,0,WP_000027057.1,Bacteria,0,TEM beta-lactamase,TEM-1 beta-lactamase,unknown,0,100,100,100,1.00E-163
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.3174,0,0,AAC75314.1,Escherichia coli,pmrF,PmrF transferase,,polymyxin resistance gene,0,98,97,87,1.00E-161
BLAT,Antibiotic Resistance,NDARO,ST13,fig|90370.6312.peg.4973,0,0,WP_001082319.1,Bacteria,0,APH(3'')-I phosphotransferase,APH(3'')-Ib phosphotransferase,unknown,0,100,100,100,1.00E-157
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.2925,0,0,0,unknown,acrAB-tolC,AcrB efflux pump component,AcrB efflux pump component,efflux pump conferring antibiotic resistance,7651136,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4001,0,0,0,unknown,gyrB,DNA gyrase subunit B,DNA gyrase subunit B,antibiotic target in susceptible species,21693461;22279180;9293187,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.405,0,0,AAC75135.2,Escherichia coli,mdtA,MdtA efflux pump component,,efflux pump conferring antibiotic resistance,0,90,91,86,1.00E-182
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.192,0,0,0,unknown,pgsA,PgsA phosphatidyltransferase,PgsA phosphatidyltransferase,cell wall charge modification resistance,22238576,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4380,0,0,0,unknown,kasA,KasA synthase,KasA synthase,antibiotic target in susceptible species,10428945,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.4343,0,0,CDO13981.1,Klebsiella pneumoniae,phoP,PhoP regulator,,polymyxin resistance gene,0,100,99,92,1.00E-114
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.1074,0,0,AAC77293.1,Escherichia coli,mdtM,MdtM efflux pump,,efflux pump conferring antibiotic resistance,0,98,97,86,1.00E-202
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.3027,0,0,ACH50230.1,Salmonella enterica,ramR,AcrR family regulator,,efflux pump conferring antibiotic resistance,0,100,100,97,1.00E-104
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.2548,0,0,0,unknown,MarR,MarR regulator,MarR regulator,antibiotic resistance gene cluster,7768850;8282690;8383113;9068629,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4970,0,0,0,unknown,tem,TEM beta-lactamase,TEM beta-lactamase,antibiotic inactivation enzyme,11585791,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.3943,0,0,AAC75733.1,Escherichia coli,emrB,EmrB efflux pump component,,efflux pump conferring antibiotic resistance,0,100,100,95,1.00E-289
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.406,0,0,AAC75136.1,Escherichia coli,mdtB,MdtB efflux pump component,,efflux pump conferring antibiotic resistance,0,100,100,91,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.3943,0,0,0,unknown,emrAB-tolC,EmrB efflux pump component,EmrB efflux pump component,efflux pump conferring antibiotic resistance,1409590,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.3201,0,0,NP_461214.1,Salmonella enterica,gyrA,DNA gyrase subunit A,,fluoroquinolone resistance gene,0,100,100,99,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.1327,0,0,NP_417544.5,Escherichia coli,patA,PatA aminotransferase,,efflux pump conferring antibiotic resistance,0,99,99,94,1.00E-252
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4557,0,0,0,unknown,AcrEF-TolC ,AcrE efflux pump component,AcrE efflux pump component,efflux pump conferring antibiotic resistance,1720861,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.1405,0,0,0,unknown,folP,Dihydropteroate synthase,Dihydropteroate synthase,antibiotic target in susceptible species,15673783,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.2788,0,0,NP_418540.1,Escherichia coli,adiY,AdiY regulator,,efflux pump conferring antibiotic resistance,0,98,98,80,1.00E-116
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.1281,0,0,NP_462089.1,Salmonella enterica,parC,DNA topoisomerase IV subunit A,,fluoroquinolone resistance gene,0,100,100,99,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.3945,0,0,NP_417169.1,Escherichia coli,emrR,EmrR regulator,,efflux pump conferring antibiotic resistance,0,98,98,93,2.00E-90
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.1419,0,0,0,unknown,murA,MurA transferase,MurA transferase,antibiotic target in susceptible species,8994972,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.1295,0,0,0,unknown,tolC,TolC outer membrane channel,TolC outer membrane channel,efflux pump conferring antibiotic resistance,6219270,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4771,0,0,0,unknown,rpsJ,Ribosomal protein S10,Ribosomal protein S10,antibiotic target in susceptible species,26124155,0,0,0,0
BLAT,Antibiotic Resistance,NDARO,ST13,fig|90370.6312.peg.4978,0,0,WP_000239590.1,Bacteria,0,CTX-M beta-lactamase,CTX-M-15 beta-lactamase,unknown,0,100,100,100,1.00E-161
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.3944,0,0,0,unknown,emrAB-tolC,EmrA efflux pump component,EmrA efflux pump component,efflux pump conferring antibiotic resistance,1409590,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.3944,0,0,BAA16547.1,Escherichia coli,emrA,EmrA efflux pump component,,efflux pump conferring antibiotic resistance,0,100,100,89,1.00E-198
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.4849,0,0,NP_416715.1,Escherichia coli,yojI,YojI siderophore exporter,,efflux pump conferring antibiotic resistance,0,100,100,90,1.00E-291
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.1973,0,0,NP_414618.4,Escherichia coli,leuO,LeuO activator,,sulfonamide resistance gene,0,95,93,89,1.00E-157
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4978,0,0,0,unknown,ctxM,CTX-M beta-lactamase,CTX-M beta-lactamase,antibiotic inactivation enzyme,17289764,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.3785,0,0,YP_489321.1,Escherichia coli,mdtG,MdtG efflux pump,,efflux pump conferring antibiotic resistance,0,97,98,91,1.00E-207
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.3945,0,0,0,unknown,emrAB-tolC,EmrR regulator,EmrR regulator,regulator modulating antibiotic resistance,7730261,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4980,0,0,0,unknown,tufA,Elongation factor Tu,Elongation factor Tu,antibiotic target in susceptible species,364475;9678602,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4559,0,0,0,unknown,AcrEF-TolC ,AcrF efflux pump component,AcrF efflux pump component,efflux pump conferring antibiotic resistance,1720861,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.278,0,0,AML99881.1,Salmonella enterica,mdtK,YeeO transporter,,efflux pump conferring antibiotic resistance,0,99,93,99,1.00E-273
BLAT,Antibiotic Resistance,NDARO,ST13,fig|90370.6312.peg.4939,0,0,WP_000703418.1,Gammaproteobacteria,0,ANT(3'')-Ia nucleotidyltransferase,DfrA7 dihydrofolate reductase,unknown,0,99,78,100,2.00E-85
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.2550,0,0,0,unknown,marB,MarB regulator,MarB regulator,antibiotic resistance gene cluster,8383113;9068629,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.2286,0,0,YP_490697.1,Escherichia coli,acrD,AcrD efflux pump component,,efflux pump conferring antibiotic resistance,0,100,100,94,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.405,0,0,0,unknown,mdtABC-tolC,MdtA efflux pump component,MdtA efflux pump component,efflux pump conferring antibiotic resistance,12107134,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.4001,0,0,NP_462735.1,Salmonella enterica,gyrB,DNA gyrase subunit B,,fluoroquinolone resistance gene,0,100,100,100,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.407,0,0,0,unknown,mdtABC-tolC,MdtC efflux pump component,MdtC efflux pump component,efflux pump conferring antibiotic resistance,12107134,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.2786,0,0,BAE78116.1,Escherichia coli,pmrC,PmrC transferase,,polymyxin resistance gene,0,100,100,82,1.00E-279
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.3874,0,0,0,unknown,alr,Alanine racemase,Alanine racemase,antibiotic target in susceptible species,19748470;24303782,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4079,0,0,0,unknown,rho,Rho termination factor,Rho termination factor,antibiotic target in susceptible species,8466900,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.934,0,0,AAA50993.1,Escherichia coli,0,Elongation factor Tu,,elfamycin resistance gene,0,13,100,100,3.00E-23
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.4997,0,0,CAA23899.1,Escherichia coli,catI,Chloramphenicol acetyltransferase,,chloramphenicol resistance gene,0,100,100,100,1.00E-132
BLAT,Antibiotic Resistance,NDARO,ST13,fig|90370.6312.peg.4895,0,0,WP_001516695.1,Gammaproteobacteria,0,QnrB resistance protein,QnrS1 resistance protein,unknown,0,100,100,100,1.00E-129
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.2456,0,0,AAF03531.1,Salmonella enterica,aac(6')-Iy,AAC(6') acetyltransferase,,aminoglycoside resistance gene,0,100,84,97,4.00E-80
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4042,0,0,0,unknown,gidB,GidB methyltransferase,GidB methyltransferase,gene conferring resistance via absence,17238915,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.4972,0,0,AAC23556.1,Pseudomonas aeruginosa,aph(6)-Id,APH(6)-Id phosphotransferase,,aminoglycoside resistance gene,0,100,100,99,1.00E-160
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4683,0,0,0,unknown,tufA,Elongation factor Tu,Elongation factor Tu,antibiotic target in susceptible species,364475;9678602,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.352,0,0,AAC75089.1,Escherichia coli,pmrE,PmrE dehydrogenase,,polymyxin resistance gene,0,100,100,88,1.00E-196
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.2456,0,0,0,unknown,aac(6')-Ic,AAC(6') acetyltransferase,AAC(6') acetyltransferase,antibiotic inactivation enzyme,11158753;15155202;1354954;2069376;8257129;7810994;8001769;7793874;10188279;10542165;10508008,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.4683,0,0,AAA50993.1,Escherichia coli,0,Elongation factor Tu,,elfamycin resistance gene,0,13,100,100,5.00E-23
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4675,0,0,0,unknown,rpoC,RNA polymerase beta' subunit,RNA polymerase beta' subunit,antibiotic target in susceptible species,16723576,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.409,0,0,BAA15934.1,Escherichia coli,baeS,BaeS histidine kinase,,efflux pump conferring antibiotic resistance,0,100,100,88,1.00E-245
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.406,0,0,0,unknown,mdtABC-tolC,MdtB efflux pump component,MdtB efflux pump component,efflux pump conferring antibiotic resistance,12107134,0,0,0,0
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.1662,0,0,0,unknown,mdfA,MdfA efflux pump,MdfA efflux pump,efflux pump conferring antibiotic resistance,9079913,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.4895,0,0,ABG56870.1,Klebsiella pneumoniae,qnrS1,QnrB resistance protein,,fluoroquinolone resistance gene,0,100,100,100,1.00E-129
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.2926,0,0,ABG77965.1,Enterobacter cloacae,acrA,AcrA efflux pump component,,efflux pump conferring antibiotic resistance,0,97,97,87,1.00E-190
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.3028,0,0,AFK13828.1,Enterobacter cloacae,ramA,RamA activator,,efflux pump conferring antibiotic resistance,0,91,100,85,2.00E-53
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.4559,0,0,ABG77966.1,Enterobacter cloacae,acrB,AcrF efflux pump component,,efflux pump conferring antibiotic resistance,0,11,96,91,9.00E-57
K-mer Search,Antibiotic Resistance,PATRIC,ST13,fig|90370.6312.peg.4972,0,0,0,unknown,aph(6)-Ic,APH(6)-Id phosphotransferase,APH(6)-Ic/Id phosphotransferase,antibiotic inactivation enzyme,3889831;15722395,0,0,0,0
BLAT,Antibiotic Resistance,CARD,ST13,fig|90370.6312.peg.4974,0,0,AAL59753.1,Vibrio cholerae,sul2,Sul1/Sul2 resistance protein,,unknown,0,100,100,100,1.00E-148
